"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Welcome and orientation","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/101999","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Welcome and orientation
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/101999/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">176 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.2","Inverse relations, hyperbolas and Zipf's Law","Video","01:47",107,"Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86515","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317866/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317866/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.3","Hyperbolas: the coolest conic sections","Video","07:35",455,"Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86516","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317941/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317941/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.4","Classical properties of hyperbolas","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86517","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Classical properties of hyperbolas
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86517/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">217 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.5","Comets and eccentricities","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86518","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Comets and eccentricities
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86518/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">100 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.6","Two classical hyperbolas in the Cartesian plane","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86519","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Two classical hyperbolas in the Cartesian plane
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86519/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">106 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.7","Hyperbolas for navigation and military use","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86520","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Hyperbolas for navigation and military use
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86520/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">79 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.8","Hyperbolas","Quiz","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86521","[]"
"1.9","Inverse relations from travel, gases and electricity","Video","04:49",289,"Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86522","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317944/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317944/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.10","Inverse proportionalities","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86523","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Inverse proportionalities
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86523/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">50 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.11","Boyle's law and the Ideal Gas law","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86524","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Boyle's law and the Ideal Gas law
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86524/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">23 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.12","Ohm's law","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86525","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Ohm's law
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86525/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">44 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.13","Hooke's law and the stiffness of springs","Article","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86526","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Hooke's law and the stiffness of springs
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86526/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">25 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.14","Inverse relations","Quiz","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86527","[]"
"1.15","Inverse relations summary","Discussion","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86818","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Inverse relations summary
                    
                  </h1>
                </div>
                ]"
"1.16","Hyperbolas and inverse relations","Test","","","Week 1","2016-08-22","22 Aug","Week 1: Hyperbolas and inverse relations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/87065","[]"
"2.1","Zipf's law","Video","03:43",223,"Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86534","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317917/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317917/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"2.2","Zipf's law and the distribution of cities","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86535","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Zipf's law and the distribution of cities
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86535/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">54 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.3","Benford's law","Video","04:37",277,"Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86536","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317931/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317931/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"2.4","Areas under a hyperbola and the logarithm","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86537","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Areas under a hyperbola and the logarithm
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86537/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">103 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.5","Benford's law","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86538","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Benford's law
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86538/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">44 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.6","Zipf's law","Quiz","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86539","[]"
"2.7","Rational functions and Mobius transformations","Video","08:15",495,"Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86528","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317986/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317986/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"2.8","Translating hyperbolas rationally","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86529","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Translating hyperbolas rationally
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86529/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">44 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.9","Composing functions","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86530","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Composing functions
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86530/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">38 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.10","Mobius composition and matrices","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86531","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Mobius composition and matrices
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86531/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">31 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.11","Composing Fibonacci's rabbits","Article","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86532","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Composing Fibonacci's rabbits
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86532/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">47 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"2.12","Rational functions and Mobius transformations","Quiz","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86533","[]"
"2.13","Zipf's law and Mobius transformations summary","Discussion","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86540","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Zipf's law and Mobius transformations summary
                    
                  </h1>
                </div>
                ]"
"2.14","Zipf's law and Mobius transformations","Test","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86541","[]"
